ExperimentName,Subject,Version,Trial,Condition,Image,Image_dur,Shape,ShapeRate,LikePre.RESP,LikePre.RT,LikePre.RTTime,LikePost.RESP,LikePost.RT,LikePost.RTTime,Procedure,NervousPost.RESP,NervousPost.RT,NervousPost.RTTime,NervousPre.RESP,NervousPre.RT,NervousPre.RTTime
Class_cond_v1_REG_nervous,113,v1,1,,,,CSMinus,image2.bmp,3,7102,23225,,,,PreRating,,,,1,3278,26550
Class_cond_v1_REG_nervous,113,v1,2,,,,CSPlus,image1.bmp,2,2938,29544,,,,PreRating,,,,1,2133,31722
Class_cond_v1_REG_nervous,113,v1,3,CSNoise,image1.bmp,5500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,4,CSNoise,image1.bmp,8500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,5,CSPlus,image1.bmp,500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,6,CSMinus,image2.bmp,1000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,7,CSMinus,image2.bmp,5000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,8,CSMinus,image2.bmp,2500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,9,CSMinus,image2.bmp,5500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,10,CSMinus,image2.bmp,6000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,11,CSNoise,image1.bmp,2500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,12,CSNoise,image1.bmp,10000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,13,CSNoise,image1.bmp,8000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,14,CSNoise,image1.bmp,6000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,15,CSMinus,image2.bmp,6500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,16,CSPlus,image1.bmp,3000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,17,CSMinus,image2.bmp,8500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,18,CSMinus,image2.bmp,1000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,113,v1,19,,,,CSMinus,image2.bmp,,,,3,5346,310489,PreRating1,1,1893,312420,,,
Class_cond_v1_REG_nervous,113,v1,20,,,,CSPlus,image1.bmp,,,,2,2487,314963,PreRating1,1,1698,316708,,,
Class_cond_v1_REG_nervous,125,v1,1,,,,CSPlus,image1.bmp,5,3964,23214,,,,PreRating,,,,1,3373,26623
Class_cond_v1_REG_nervous,125,v1,2,,,,CSMinus,image2.bmp,5,3368,30051,,,,PreRating,,,,1,3296,33396
Class_cond_v1_REG_nervous,125,v1,3,CSNoise,image1.bmp,5500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,125,v1,4,CSNoise,image1.bmp,8500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,125,v1,5,CSPlus,image1.bmp,500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,125,v1,6,CSMinus,image2.bmp,1000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,125,v1,7,CSMinus,image2.bmp,5000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,125,v1,8,CSMinus,image2.bmp,2500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,125,v1,9,CSMinus,image2.bmp,5500,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,125,v1,10,CSMinus,image2.bmp,6000,,,,,,,,,CSTrial,,,,,,
Class_cond_v1_REG_nervous,125,v1,11,CSNoise,image1.bmp,2500,,,,,,,,,CSTrial,,,,,,
