Subject,First_Cond,Version_Parent,Version_Alone,Scan_Parent,Scan_Alone
104,Alone,V2,V1,cond2,cond1
107,Alone,V2,V1,cond2,cond1
110,Alone,V1,V2,cond2,cond1
113,Parent,V1,V2,cond1,cond2
118,Parent,V1,V2,cond1,cond2
125,Alone,V1,V2,cond2,cond1
128,Parent,V2,V1,cond1,cond2
133,Parent,V2,V1,cond1,cond2
140,Alone,V1,V2,cond2,cond1
153,Alone,V2,V1,cond2,cond1
158,Alone,,V2,,cond1
161,Parent,V1,V2,cond1,cond2
176,Alone,V2,V1,cond2,cond1
179,Parent,V1,V2,cond1,cond2
182,Alone,V2,V1,cond2,cond1
185,Parent,V2,V1,cond1,cond2
188,Alone,V1,V2,cond2,cond1
191,Parent,V1,V2,cond1,cond2
200,Parent,V1,V2,cond1,cond2
203,Alone,V2,V1,cond2,cond1
206,Parent,V2,V1,cond1,cond2
209,Parent,V1,V2,cond1,cond2
212,Parent,V1,V2,cond1,cond2
221,Parent,V1,V2,cond1,cond2
224,Alone,V2,V1,cond2,cond1
227,Parent,V2,V1,cond1,cond2
230,Alone,V1,V2,cond2,cond1
239,Alone,V1,V2,cond2,cond1
242,Parent,V1,V2,cond1,cond2
245,Alone,V2,V1,cond2,cond1
254,Alone,V1,V2,cond2,cond1
261,Parent,V2,V1,cond1,cond2
264,Alone,V1,V2,cond2,cond1
275,Parent,V1,V2,cond1,cond2
278,Alone,V1,V2,cond2,cond1
283,Parent,V2,V1,cond1,cond2
286,Parent,V2,V1,cond1,cond2
289,Alone,V1,V1,cond2,cond1
292,Parent,V2,V1,cond1,cond2
299,Alone,V2,V2,,
302,Alone,V1,V2,cond2,cond1
305,Parent,V1,V2,cond1,cond2
308,Parent,V2,V1,cond1,cond2
311,Parent,V2,V1,cond1,cond2
314,Alone,V2,V1,cond2,cond1
317,Alone,V1,V2,cond2,cond1
320,Parent,V1,V2,cond1,cond2
323,Alone,V1,V2,cond2,cond1
326,Parent,V1,V2,cond1,cond2
329,Parent,V1,V2,cond1,cond2
334,Parent,V2,V1,cond1,cond2
341,Alone,V1,V2,cond2,cond1
