SUBID,Subject,First_Cond,Exp_Parent,Exp_Alone,Version_Parent,Version_Alone,Scan1,Scan2,Scan_Parent,Scan_Alone,Possible_scanorder_confusion,important notes from hard copies,check order_alone,check order_parent,check order_both
EL002,2,Alone,V2_CB,V1_CB,V2,V1,v1CB,v2CB. Acqknowledge crashed,cond2,cond1,,alone cond-acknowledge crashed,1,FALSE,1
EL003,3,Alone,V2_REG,V1_REG,V2,V1,V1_reg (w/o parent),V2-reg (w/ parent),cond2,cond1,,,1,FALSE,1
EL004,4,Alone,V1_CB,V2_CB,V1,V2,"v2CB_alone.  Awake, alert (no like rating for first photo)","v1CB_mom. Awake, alert",cond2,cond1,,"in original compiled file it says the parent condition was first. Alone cond-""no like rarting for first photo""",1,FALSE,1
EL005,5,Parent,V1_REG,V2_REG,V1,V2,"v1 reg_with. Awake, responding","v2_reg w/o. Awake, responding",cond1,cond2,,,FALSE,1,1
EL006,6,Parent,V1_REG,V1_REG,V1,V1,"v1_reg. Mom: 1) p1=1, p2=2  > Like rating.   2) p1:5, p2:1","v1_reg. Run time error on e-prime. V2-reg. V1REG. 1) p1=5, p2=1.  2) p1=1, p2=5",cond1,cond2,,,FALSE,1,1
EL007,7,Parent,V1_REG,V2_REG,V1,V2,!! CORT TAKEN @ 5:45!!. v1 reg_with,v2 reg_without,cond1,cond2,,,FALSE,1,1
EL010,10,Alone,V1_REG,V2_REG,V1,V2,v2 reg alone,"v1 reg w/ mom. Responsive, doing great",cond2,cond1,,in original compiled file it says the parent condition was first,1,FALSE,1
EL011,11,Parent,V2_CB,V1_CB,V2,V1,v2CB mom,"v1CB alone. GSR, yes, only this run.",cond1,cond2,,in original compiled file it says the alone condition was first,FALSE,1,1
EL013,13,Parent,V2_REG,V1_REG,V2,V1,Dad v2 reg,V1 reg alone,cond1,cond2,,in original compiled file it says the alone condition was first,FALSE,1,1
EL016,16,Alone,V1_CB,V2_CB,V1,V2,alone v2 CB,mom v1 CB,cond2,cond1,,in original compiled file it says the parent condition was first,1,FALSE,1
EL022,22,Alone,V2_CB,V1_CB,V2,V1,"V1 CB. Alone. Eyes open, alert",V2 CB With mom. Eyes open,cond2,cond1,,,1,FALSE,1
EL024,24,Alone,,V2_CB,,V2,"Alone V2 CB. Good, laying still. Came out head padded in a way that was tight on ears.",,,cond1,,,,,
EL025,25,Parent,V1_REG,V2_REG,V1,V2,Mom v1 reg. Dad is going in scanner,Alone v2 reg. EXTRA STRUCTURAL. End @ 2:48,cond1,cond2,,"parent cond-""dad is going in scanner"". Alone cond-""extra structural, bad quality""",FALSE,1,1
EL032,32,Alone,V2_REG,V1_REG,V2,V1,v1 reg w/o mom. Good,v2 reg w/ mom. Good.,cond2,cond1,,,1,FALSE,1
