Subject,CHILD_DEBRIEF_4_FEEL_WHEN_PARENT_IN_RM,CHILD_DEBRIEF_1_VERBATIM,CHILD_DEBRIEF_2_VERBATIM,CHILD_DEBRIEF_3_VERBATIM,CHILD_DEBRIEF_4_VERBATIM,parent_feel_coded
1,,,,,,
2,,,,,,
3,,,,,,
4,1,"No, I kinda just spaced out","Yes, the baseball & the drums",No,Nervous,-1
5,1,"School, people I know; A song in my head","Yeah, one. The asian girl in candyland",Tired but didnג€™t sleep,"First ""Why is she petting me?"" then I got used to it",-1
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,0,Nothing. Some spots popped into head. Drum house / Kid closet / Kid window. Horse desk.,Nothing. Some spots popped into head. Drum house / Kid closet / Kid window. Horse desk.,Not really,Felt nice,1
11,1,DK,DK,No,A little nervous because I didnג€™t know what was happening. Didnג€™t make a difference.,-1
12,,,,,,
13,1,I was thinking about the MRI noises,The rocket ship and tow truck,Yes,Awkward,-1
14,,,,,,
15,,,,,,
16,0,No,No,"No, I didnג€™t sleep but I felt sleeping in resting",The same,0
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,Roach crawling on my head,"Yes, boat, rocket, airplane",Felt really sleepy,,
22,0,I was counting how many seconds I was closing my eyes for,No,I felt kind of sleepy,Safer,1
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,0,"What was on the screen, but kept opening my eyes",Nope! Not one single bit,Sort of sleepy,No different,0
33,0,"Yes, soccer, Harry Potter, Today, Roblox",No,Sleep,I felt no different,0
34,0,"Nothing, harry potter",One of the places - Candyland,At the end,No difference,0
35,0,Donuts & pizza,No,Felt sleepy,A little relieved because it was almost over,1
36,0,"I remember trying not to fall asleep, thinking about how the experiment would work, and how the way your brain worked, etc as well as (in the first exercise) worrying about how I completely forgot the instructions. I thought a lot about my thoughts and my brain.","Not really, I was more worried about how I forgot what I was supposed to do.",I tried not to sleep because I was told not to buy I did feel very sleepy.,It made me feel more comfortable,1
37,0,"Not really, I remember the game more. Sometimes I make little quips to myself to make myself laugh and in a couple of the resting periods I thought of a song. Oh, no, now I remember. I remembered the game you had me play last time with the different faces & people of different races. the girl w brown hair, braids, AA boy on slide, etc",Yes though I tried to push them to the back of my head,No,Less nervous,1
38,,,,,,
39,,,,,,
40,,,,,,
41,0,What my week was like,No,I felt really sleepy during that time,"I felt okay, didnג€™t feel any different.",0
42,0,,,,,
43,0,How excited he was about getting it,"Yeah, the toys, some of the lego brick, thinking about how he likes to buy them",No,Happy,1
44,0,movie_hairspray songs.,"Yes. Boy @ window, hockey stick in candyland.","felt sleepy, no sleep","Calm, relaxed",1
45,0,I think I was thinking about what I was going to do with my friends over spring break,Not really. Most of the time I was thinking about spring break.,During the end of the last one I felt a bit sleepy but not during the first one.,I felt a little better when my mom came in but otherwise it was pretty much the same.,1
46,,,,,,
47,,,,,,
48,,,,,,
49,0,mind wandering,yes thining @ hiding spots,no,not that different & not weird,0
50,1,First time: if the avengers had more power (comic). Second time: nothing,No,I felt sleepy during the first resting time,"A little shocked that she came in at the last moment, but happy!",1
51,0,I was not really thinking of anything,"no, not really",I did not sleep but I was sleepy,I felt comforted,1
52,0,"Playing piano, summer/camp",No,"I felt sleepy, but did not fall asleep",I was more relaxed/comfortable,1
53,,,,,,
54,,,,,,
55,,,,,,
56,,No,Yes it did,No,,
57,0,Decorating a cupcake,Candyland,Felt sleepy but didnג€™t fall asleep,"More sleepy, more relaxed",1
