Subject,First_Cond,Version_Parent,Version_Alone,Scan_Parent,Scan_Alone
2,Alone,V2,V1,cond2,cond1
3,Alone,V2,V1,cond2,cond1
4,Alone,V1,V2,cond2,cond1
5,Parent,V1,V2,cond1,cond2
7,Parent,V1,V2,cond1,cond2
10,Alone,V1,V2,cond2,cond1
11,Parent,V2,V1,cond1,cond2
13,Parent,V2,V1,cond1,cond2
16,Alone,V1,V2,cond2,cond1
22,Alone,V2,V1,cond2,cond1
24,Alone,,V2,,cond1
25,Parent,V1,V2,cond1,cond2
32,Alone,V2,V1,cond2,cond1
33,Parent,V1,V2,cond1,cond2
34,Alone,V2,V1,cond2,cond1
35,Parent,V2,V1,cond1,cond2
36,Alone,V1,V2,cond2,cond1
37,Parent,V1,V2,cond1,cond2
41,Parent,V1,V2,cond1,cond2
42,Alone,V2,V1,cond2,cond1
43,Parent,V2,V1,cond1,cond2
44,Parent,V1,V2,cond1,cond2
45,Parent,V1,V2,cond1,cond2
49,Parent,V1,V2,cond1,cond2
50,Alone,V2,V1,cond2,cond1
51,Parent,V2,V1,cond1,cond2
52,Alone,V1,V2,cond2,cond1
56,Alone,V1,V2,cond2,cond1
57,Parent,V1,V2,cond1,cond2
58,Alone,V2,V1,cond2,cond1
62,Alone,V1,V2,cond2,cond1
65,Parent,V2,V1,cond1,cond2
66,Alone,V1,V2,cond2,cond1
71,Parent,V1,V2,cond1,cond2
72,Alone,V1,V2,cond2,cond1
74,Parent,V2,V1,cond1,cond2
75,Parent,V2,V1,cond1,cond2
76,Alone,V1,V1,cond2,cond1
77,Parent,V2,V1,cond1,cond2
80,Alone,V2,V2,,
81,Alone,V1,V2,cond2,cond1
82,Parent,V1,V2,cond1,cond2
83,Parent,V2,V1,cond1,cond2
84,Parent,V2,V1,cond1,cond2
85,Alone,V2,V1,cond2,cond1
86,Alone,V1,V2,cond2,cond1
87,Parent,V1,V2,cond1,cond2
88,Alone,V1,V2,cond2,cond1
89,Parent,V1,V2,cond1,cond2
90,Parent,V1,V2,cond1,cond2
92,Parent,V2,V1,cond1,cond2
95,Alone,V1,V2,cond2,cond1
